Enew,Eold
120.574,130.144
172.064,120.574
191.1,172.064
149.434,191.1
177.277,149.434
176.098,177.277
157.067,176.098
147.847,157.067
160.27,147.847
132.887,160.27
142.034,132.887
137.566,142.034
128.814,137.566
157.697,128.814
152.762,157.697
175.216,152.762
197.935,175.216
166.876,197.935
134.859,166.876
155.387,134.859
120.019,155.387
131.098,120.019
132.798,131.098
123.849,132.798
198.265,123.849
129.059,198.265
133.589,129.059
137.031,133.589
161.747,137.031
131.47,161.747
153.143,131.47
184.454,153.143
175.506,184.454
147.87,175.506
140.892,147.87
136.067,140.892
132.113,136.067
153.792,132.113
165.787,153.792
164.651,165.787
190.755,164.651
133.121,190.755
146.683,133.121
132.44,146.683
142.973,132.44
133.894,142.973
149.953,133.894
154.104,149.953
153.379,154.104
164.341,153.379
134.431,164.341
136.88,134.431
136.88,136.88
139.709,136.88
123.349,139.709
161.619,123.349
205.556,161.619
208.26,205.556
182.096,208.26
160.795,182.096
149.23,160.795
147.399,149.23
139.189,147.399
149.977,139.189
176.126,149.977
143.487,176.126
150.519,143.487
182.192,150.519
135.42,182.192
108.64,135.42
126.475,108.64
153.65,126.475
126.94,153.65
159.864,126.94
150.831,159.864
164.018,150.831
138.057,164.018
168.966,138.057
126.872,168.966
148.686,126.872
141.716,148.686
152.094,141.716
191.094,152.094
140.268,191.094
154.932,140.268
153.347,154.932
167.004,153.347
165.412,167.004
184.919,165.412
193.879,184.919
148.012,193.879
136.859,148.012
130.934,136.859
154.093,130.934
172.432,154.093
171.205,172.432
102.915,171.205
167.991,102.915
136.019,167.991
126.824,136.019
155.665,126.824
150.659,155.665
129.912,150.659
182.574,129.912
152.75,182.574
142.485,152.75
151.613,142.485
189.223,151.613
196.668,189.223
195.83,196.668
162.15,195.83
117.605,162.15
137.179,117.605
164.661,137.179
166.035,164.661
182.665,166.035
153.011,182.665
168.141,153.011
163.209,168.141
163.079,163.209
113.843,163.079
203.975,113.843
145.712,203.975
132.782,145.712
138.142,132.782
140.302,138.142
197.122,140.302
131.949,197.122
137.09,131.949
177.086,137.09
164.536,177.086
175.803,164.536
144.953,175.803
155.182,144.953
144.889,155.182
125.984,144.889
192.037,125.984
169.728,192.037
139.892,169.728
149.354,139.892
173.457,149.354
156.455,173.457
171.118,156.455
158.222,171.118
118.189,158.222
160.47,118.189
138.409,160.47
